"Level","UC ID","Rule","Use case","Original scope","Delivery status","Verification","Evidence / location","Notes"
"3 Zones & occupancy","UC-14","","Restricted-zone occupancy","BUILD","Delivered","Automated tests","zone_type RESTRICTED","Feeds rule R-06"
"4 Derived metrics","UC-15","","Density per square metre","BUILD","Delivered","Automated tests","zone state: density","occupancy / area_sqm. Approximate without homography (UC-53, cut)"
"4 Derived metrics","UC-16","","Capacity utilisation","BUILD","Delivered","Automated tests","zone state: capacity_pct","occupancy / capacity_max as a percentage"
"4 Derived metrics","UC-17","","Dwell time","BUILD","Delivered","Automated tests","tests/test_metrics.py","Per-track seconds; resets on exit. Feeds rule R-05"
"4 Derived metrics","UC-18","","Inflow / outflow rate","BUILD","Delivered","Automated tests","zone state: inflow_per_min, outflow_per_min, net_flow","Also 5m and 15m rolling windows"
"4 Derived metrics","UC-19","","Anonymous person_ref","BUILD","Delivered","Automated tests","alerts: person_ref (pr_...)","Salted hash, per session. Tests assert no PII in any output"
"4 Derived metrics","UC-20","","Zone state aggregate every 5s","BUILD","Delivered","Live-verified","POST /api/v1/zones/state","5s is a specified aggregation window, not a UI refresh rate"
"5 Event generation","UC-21","","ZONE_ENTRY","BUILD","Delivered","Automated tests","tests/test_events.py","Fires once per entry; debounced against jitter"
"5 Event generation","UC-22","","ZONE_EXIT","BUILD","Delivered","Automated tests","tests/test_events.py","Fires once per exit"
"5 Event generation","UC-23","","DENSITY_UPDATE","BUILD","Delivered","Live-verified","GET /api/v1/history/events","Carries occupancy and density"
"5 Event generation","UC-24","","CAMERA_HEARTBEAT","BUILD","Delivered","Live-verified","camera health path","Now published every 1s (was 5s)"
"5 Event generation","UC-25","","CAMERA_OFFLINE","BUILD","Delivered","Automated tests","tests/test_rules.py","Emitted after 30s silence; feeds R-07"
"5 Event generation","UC-26","","ZONE_TRANSITION","BUILD","Delivered","Live-verified","GET /api/v1/movement","zone_from / zone_to counts observed live"
"6 API & persistence","UC-27","","Event bus","BUILD","Delivered - VARIANT","Unverified (Redis path)","services/api/bus.py","RedisStreamBus is written but never exercised. InMemoryBus is the default and is what runs"
"6 API & persistence","UC-28","","POST /api/v1/events/ingest","BUILD","Delivered","Automated tests","tests/test_api_logic.py","Schema validation; malformed payloads rejected"
"6 API & persistence","UC-29","","POST /api/v1/zones/state","BUILD","Delivered","Automated tests","tests/test_api_logic.py","Accepts the 5s aggregate"
"6 API & persistence","UC-30","","Core tables","BUILD","Delivered - VARIANT","Live-verified","data/finblade.db","SQLite, not Postgres. Tables: zones, cameras, events, alerts, reports, zone_state_ts"
"6 API & persistence","UC-31","","Time series (zone_state_ts)","BUILD","Delivered","Live-verified","zone_state_ts table; /api/v1/reports/occupancy.json","Written continuously and queryable by range"
"7 Rule engine","UC-32","R-07","Camera offline alert","BUILD","Delivered","Automated tests","tests/test_rules.py","29s no alert / 31s alert / clears on recovery"
"7 Rule engine","UC-33","R-06","Restricted-zone intrusion","BUILD","Delivered","Automated tests","tests/test_rules.py","Immediate, no debounce. Saves an alert snapshot frame"
"7 Rule engine","UC-34","R-01","Density warning (amber)","BUILD","Delivered","Automated tests","tests/test_rules.py","Above 2.0/m2"
"7 Rule engine","UC-35","R-02","Density critical (red)","BUILD","Delivered","Automated tests","tests/test_rules.py","Above 4.0/m2. Saves an alert snapshot frame"
"7 Rule engine","UC-36","R-03","Capacity threshold","BUILD","Delivered","Automated tests","tests/test_rules.py","At or above 90% of capacity_max"
"7 Rule engine","UC-37","","Hysteresis + 10s debounce","BUILD","Delivered","Automated tests","tests/test_rules.py","Separate on/off thresholds; rapid oscillation yields one alert"
"7 Rule engine","UC-38","R-05","Loitering","BUILD","Delivered","Live-verified","Observed live: R-05 AMBER, loitering 30s in ZONE-01","Tied to person_ref and zone"
"7 Rule engine","UC-39","R-08","Occupancy report, scheduled + on demand","BUILD","Delivered","Automated tests","POST /api/v1/reports/generate, GET /api/v1/reports","HTML, JSON and CSV output"
"7 Rule engine","UC-40","R-04","Bottleneck detection","CUT","Not built","n/a","","Explicitly out of scope"
"8 Dashboard","UC-41","","Live annotated feed panel","BUILD","Delivered","Live-verified","web/dashboard.html","One tile per camera, overlay toggles"
"8 Dashboard","UC-42","","Zone cards","BUILD","Delivered","Live-verified","web/dashboard.html","Occupancy, capacity, density, trend, peak, flow, status"
"8 Dashboard","UC-43","","Camera health grid","BUILD","Delivered","Live-verified","web/cameras.html","Online / degraded / reconnecting / offline"
"8 Dashboard","UC-44","","Alert feed + acknowledge","BUILD","Delivered","Automated tests","POST /api/v1/alerts/{id}/ack","Records acknowledged_by and timestamp; resolve and dismiss too"
"8 Dashboard","UC-45","","WebSocket transport","BUILD","Delivered","Live-verified","WS /ws","~2 messages/sec, full snapshot. Now authenticated and carries cameras"
"8 Dashboard","UC-46","","REST fallback","BUILD","Delivered","Live-verified","web/dashboard.html","5s polling takes over automatically when the socket drops"
"8 Dashboard","UC-47","","Occupancy timeline","STRETCH","Delivered","Live-verified","Zone card sparkline (OCCUPANCY - LAST 40)","Stretch item, delivered"
"8 Dashboard","UC-48","","Site heatmap","CUT","Not built","n/a","","Explicitly out of scope"
"8 Dashboard","UC-49","","Zone-to-zone Sankey diagram","CUT","Not built","n/a","","Explicitly out of scope. Underlying data exists at /api/v1/movement"
"8 Dashboard","UC-50","","Occupancy report generation","BUILD","Delivered","Live-verified","web/report.html, /api/v1/reports/occupancy.*","On demand and scheduled"
"9 Multi-camera","UC-51","","Second camera concurrent","CUT","Delivered - SCOPE CHANGED","Live-verified","6 cameras running concurrently","Originally cut; later required. Now the normal operating mode"
"9 Multi-camera","UC-52","","Video clip bookmark","CUT","Partial - SCOPE CHANGED","Live-verified","evidence/bookmarks, /bookmarks","Alert snapshot frames delivered; full clip bookmarking not built"
"9 Multi-camera","UC-53","","Homography / camera calibration","CUT","Not built","n/a","","Site-visit task. Density remains approximate without it"
"9 Multi-camera","UC-54","","Geometric cross-camera handoff","CUT","Not built","n/a","","Superseded by appearance-based matching (UC-55)"
"9 Multi-camera","UC-55","","Appearance re-identification","CUT","Delivered - SCOPE CHANGED","ACCURACY UNVALIDATED","OSNet + topology gating; /api/v1/identity/*","Originally cut; later required. Accuracy on real two-camera footage never measured - see BLOCKERS B-4"
"9 Multi-camera","UC-56","","Embedding TTL","BUILD","Delivered","Automated tests","config/topology.yaml: ttl_seconds 300","Embeddings held in RAM only, never persisted or logged"
"10 Demo integration","UC-57","","Event injection tooling","BUILD","Partial","Live-verified","POST /api/v1/cameras/{id}/simulate-failure and /restore","Camera-offline injectable on demand. No density-critical injection tool"
"10 Demo integration","UC-58","","End-to-end latency measured","BUILD","Delivered","Live-verified","Heartbeat age measured at 0.2s max (was ~5.0s)","Measured 2026-07-30 on 6 live cameras"
"10 Demo integration","UC-59","","Full 10-step demo run","BUILD","Partial","NEEDS HUMAN VERIFICATION","scripts/demo.sh","Script exists; end-to-end rehearsal not performed"
"10 Demo integration","UC-60","","Rehearsal + runsheet","HUMAN","Human task","n/a","","Explicitly a human task"
"Beyond original scope","EX-01","","API key authentication","not in original list","Delivered","Automated tests","services/api/auth.py","Bearer or X-API-Key on every /api/v1 route; off unless FINBLADE_API_KEY is set"
"Beyond original scope","EX-02","","WebSocket authentication","not in original list","Delivered","Live-verified","WS /ws?key=","Closed with code 1008 when unauthenticated. /ws was previously ungated"
"Beyond original scope","EX-03","","Outbound push to FinBlade","not in original list","Delivered","Automated tests","services/api/forwarder.py, /api/v1/finblade/status","Events, alerts, zone state, health, counts and snapshots, batched with ack return"
"Beyond original scope","EX-04","","Cross-camera identity service","not in original list","Delivered","ACCURACY UNVALIDATED","/api/v1/identity/counts, list, stats, {global_ref}","Site occupancy de-duplicated across cameras. See UC-55"
"Beyond original scope","EX-05","","UNMONITORED zones as detection masks","not in original list","Delivered","Automated tests","tests/test_zones.py","Detections dropped before tracking, dwell, occupancy and ReID"
"Beyond original scope","EX-06","","Single-frame snapshot endpoint","not in original list","Delivered","Live-verified","GET /api/v1/cameras/{id}/snapshot","Low-bandwidth alternative to MJPEG for remote viewing"
"Beyond original scope","EX-07","","Camera provisioning from the UI","not in original list","Delivered","Live-verified","web/cameras.html, POST /api/v1/cameras","Add a camera by RTSP URL; the API launches its pipeline"
"Beyond original scope","EX-08","","Browser zone editor","not in original list","Delivered","Live-verified","tools/zone-editor.html","Draw polygons on a live reference still; no config editing"
"Beyond original scope","EX-09","","Detection confidence probe","not in original list","Delivered","Live-verified","scripts/probe_confidence.py","Measures per-object confidence to settle threshold questions with data"
"Beyond original scope","EX-10","","History and movement queries","not in original list","Delivered","Live-verified","/api/v1/history/events, history/alerts, movement","Date-filterable; zone-to-zone transition counts"
